timestamp_s,teacher_group_count,teacher_groups,teacher_gain_vs_single,is_dualweak_group
38.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
38.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
39.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
40.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
41.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.7,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.8,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
42.9,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
43.0,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
43.1,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
43.2,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
43.3,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
43.4,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
43.5,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
43.6,1,"[[0, 1, 2, 3, 4, 5, 6]]",0.000000000000,False
43.7,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.032424870721,True
43.8,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.032424870721,True
43.9,2,"[[0, 1, 3, 4, 6], [2, 5]]",0.032424870721,True
