scenario_id,timestamp_s,serving_gnb,user_count,ue_ids
simu5g_00000574,30.0,gnb_2,2,31|6
simu5g_00000608,31.7,gnb_2,3,31|6|7
simu5g_00000640,33.3,gnb_2,3,31|6|7
simu5g_00000674,35.0,gnb_2,3,31|6|7
simu5g_00000706,36.6,gnb_2,3,31|6|7
simu5g_00000740,38.3,gnb_2,3,31|6|7
simu5g_00000772,39.9,gnb_2,2,6|7
simu5g_00000806,41.6,gnb_2,2,6|7
simu5g_00000838,43.2,gnb_2,2,6|7
simu5g_00000872,44.9,gnb_2,2,6|7
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000847,43.7,gnb_1,7,0|1|15|2|3|4|5
simu5g_00000849,43.8,gnb_1,7,0|1|15|2|3|4|5
